127.0.0.1 - - [18/Feb/2022:09:22:29 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:36 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:36 +0100] "GET /pizzashop/PizzaSelectionCSS.css HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:36 +0100] "GET /pizzashop/images/Margherita.jpg HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:36 +0100] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:37 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:37 +0100] "GET /pizzashop/images/Margherita.jpg HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:39 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:39 +0100] "GET /pizzashop/images/Margherita.jpg HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:43 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:22:43 +0100] "GET /pizzashop/images/Margherita.jpg HTTP/1.1" 404 801
