127.0.0.1 - - [03/Mar/2022:15:50:51 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/Pizza HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/images/Salami.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/images/Calzone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/images/Diavola.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/images/Prosciutto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:02 +0100] "GET /pizzashop/PizzaSelectionCSS.css HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:21 +0100] "GET /pizzashop/Order HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:21 +0100] "GET /pizzashop/OrderCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:27 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:27 +0100] "GET /pizzashop/PizzaSelectionCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:29 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:32 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:34 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [03/Mar/2022:15:51:34 +0100] "POST /pizzashop/Pizza HTTP/1.1" 200 3996
