127.0.0.1 - - [22/Jul/2022:15:39:27 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:32 +0200] "GET /pizzashop/api/Pizza/search/Margherita HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:32 +0200] "GET /pizzashop/api/Pizza/search/Margherita HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:32 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:35 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:35 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:37 +0200] "GET /pizzashop/api/Pizza/search/Margherita HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:38 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:39 +0200] "GET /pizzashop/api/Pizza/search/17.99 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:39 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:41 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:41 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:44 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:44 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:44 +0200] "OPTIONS /pizzashop/api/PizzaOrder HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:47 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:47 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:49 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:49 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:51 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Jul/2022:15:39:51 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
