127.0.0.1 - - [15/Aug/2022:15:16:13 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:55 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:55 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:56 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:56 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:57 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:57 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:58 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:58 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:58 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:59 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:59 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:16:59 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:07 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:07 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:08 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:08 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:12 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:12 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:12 +0200] "POST /pizzashop/api/PizzaOrder HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:13 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:13 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:16 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:16 +0200] "POST /pizzashop/api/Order HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:16 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:20 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:20 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:24 +0200] "POST /pizzashop/api/PizzaOrder HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:24 +0200] "GET /pizzashop/api/Pizza HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:24 +0200] "GET /pizzashop/api/PizzaOrder HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/Aug/2022:15:17:26 +0200] "POST /pizzashop/api/PizzaOrder HTTP/1.1" 204 -
